ticker,commons_price,warrant_price
actc,15.58,4.45
ajax,9.94,1.82
arvl,18.52,6.24
btwn,10.1,2.2
cciv,19.33,8.37
chpt,22.63,11.11
clii,11.65,2.52
cmlf,12.07,3.77
dbdr,10.09,1.28
fpac,9.92,0.94
fsrv,12.05,3.22
ftaa,9.99,0.9
ftcv,10.88,2.82
gnrs,10,0.71
gsah,10.22,1.95
hzon,10.14,1.82
ipoe,16.65,5.32
muds,16.54,6.6
nga,16.17,5.03
prpb,10,1.13
raac,9.91,1.75
rtp,9.9,1.6
scle,9.75,0.87
seah,10.13,1.96
snpr,10.05,1.83
srng,10.07,2.3
sspk,15.92,5.22
tekk,9.9,1.02
thcb,12.12,3
tpgy,15.46,5.01
vgac,9.95,1.45
vygg,10,2.06
